1460607403:   
3096626743:  !
3396520004:  "
2315145039:  #
2749348646:  $
1105656189:  %
1359611204:  &
3119483207:  '
1401647460:  (
2202342865:  )
2442325143:  *
2632438964:  +
2103661608:  ,
2875827287:  -
2804099248:  .
622810719:  /
1149791373:  0
4031751053:  1
3711570591:  2
1412480651:  3
1688735955:  4
2430631955:  5
937271245:  6
2433224144:  7
3511019346:  8
28027690:  9
2837815485:  :
3432134767:  ;
1589473611:  <
1969464985:  =
3773541961:  >
762446985:  ?
290162839:  @
1753418367:  A
1543820852:  B
2506753970:  C
3368839747:  D
2187014172:  E
3863257274:  F
2616716685:  G
4023764637:  H
2817583495:  I
3253261046:  J
4094413272:  K
271206181:  L
3331998147:  M
591792017:  N
1548252435:  O
2748009192:  P
4095687890:  Q
1872895464:  R
3923275903:  S
3487050976:  T
3225980411:  U
2865699081:  V
1402568003:  W
777686072:  X
2415479834:  Y
3215382025:  Z
1120794246:  [
1601984294:  \
2503670985:  ]
831040791:  ^
2839251509:  _
1059925873:  `
3377391332:  a
1707671348:  b
2678816767:  c
3301056059:  d
111637615:  e
402115921:  f
28726509:  g
2801151143:  h
1302040311:  i
3331747536:  j
1353175739:  k
3438470361:  l
4167660523:  m
1910036735:  n
3511268692:  o
4143205379:  p
2563128531:  q
1286364078:  r
361609341:  s
1713585810:  t
3280862181:  u
2587628943:  v
636537237:  w
1757684363:  x
4258567764:  y
3117888889:  z
2474546351:  {
1880626898:  |
3126705462:  }
2051687203:  ~
4199376872:  
973787124: ! 
2469382970: !!
3460331725: !"
2003802837: !#
3645936598: !$
1367224409: !%
4146192270: !&
3501293634: !'
2083957781: !(
3024487043: !)
267936868: !*
4237779626: !+
3891908110: !,
919407025: !-
4086845923: !.
841095267: !/
665484800: !0
721400352: !1
3607384710: !2
62558127: !3
1719821661: !4
3867149949: !5
1702220685: !6
2297521899: !7
3186337470: !8
3803653507: !9
1418066396: !:
2980296278: !;
2167341011: !<
1356579205: !=
4180144203: !>
1033110750: !?
2708849138: !@
35518787: !A
3492879129: !B
1215376101: !C
3171819432: !D
1296909271: !E
1539138051: !F
1066791091: !G
2600501499: !H
3141884944: !I
2684513961: !J
4042407246: !K
247954985: !L
1145210828: !M
4273211238: !N
1753266103: !O
3046484228: !P
3775750525: !Q
3178818144: !R
2070243905: !S
2709331327: !T
1462472348: !U
1805531601: !V
1809522480: !W
561568151: !X
778570425: !Y
3644125209: !Z
3961973232: ![
4126484093: !\
3054637479: !]
911519100: !^
4055767854: !_
2588107540: !`
2999808040: !a
3065505259: !b
1277751101: !c
1921788812: !d
193739519: !e
3935214369: !f
2006050740: !g
3885568670: !h
2864515507: !i
2353188836: !j
1026868467: !k
820999333: !l
3193056816: !m
2382797573: !n
799657919: !o
3807286551: !p
4044447017: !q
86231436: !r
1058698018: !s
3355732198: !t
791373806: !u
2538087083: !v
846851466: !w
616976145: !x
371230111: !y
151687756: !z
2277364528: !{
1199418997: !|
1480139856: !}
3136352446: !~
329348758: !
1989880364: " 
442286843: "!
1637669084: ""
4255355639: "#
131136453: "$
1111702366: "%
364578278: "&
1290435053: "'
901710527: "(
3733932526: ")
410242665: "*
3983596419: "+
3533888426: ",
1301841824: "-
3266589539: ".
3374523569: "/
766359050: "0
3507678294: "1
3924251163: "2
1069860812: "3
617592619: "4
2181251514: "5
1864050088: "6
1307285470: "7
3332270611: "8
409320563: "9
2678266211: ":
1282698195: ";
1631758534: "<
1547347471: "=
508874670: ">
3072839913: "?
3922986380: "@
3086815328: "A
1106105232: "B
913883832: "C
125822218: "D
560126734: "E
856996019: "F
1679734534: "G
2757738303: "H
1080198334: "I
2143531469: "J
2035821250: "K
2433447851: "L
4267096878: "M
2596285859: "N
152255124: "O
2378239385: "P
1566112146: "Q
3228624473: "R
3144547276: "S
853377801: "T
3245857180: "U
3048223818: "V
2608713761: "W
1101723744: "X
1733366070: "Y
2404819627: "Z
1496117821: "[
1866856495: "\
2850423657: "]
1350884704: "^
3497812366: "_
322223642: "`
1585593736: "a
2037218566: "b
3499430430: "c
3981970240: "d
1687340211: "e
439707949: "f
2071660611: "g
1271011349: "h
2930702471: "i
1837429078: "j
3619513448: "k
531812529: "l
3336925608: "m
1819534658: "n
3381415809: "o
2415239403: "p
2850011982: "q
4182564156: "r
184902327: "s
812323819: "t
528511751: "u
4269291821: "v
3452243499: "w
2356665632: "x
4037356212: "y
3260180679: "z
713773407: "{
4293247918: "|
1580436616: "}
1768729346: "~
2048245661: "
4186225311: # 
184753159: #!
3432160893: #"
2035965149: ##
2528821110: #$
867892159: #%
2656006337: #&
649166108: #'
2228157958: #(
2589371933: #)
3464045178: #*
3624400034: #+
1037567905: #,
523962676: #-
4159031260: #.
3641057717: #/
2375072052: #0
3816005373: #1
3196209982: #2
1558352816: #3
2660448820: #4
1971709302: #5
470949585: #6
4276564091: #7
4145824744: #8
3043782498: #9
2986913283: #:
1687491624: #;
2587337782: #<
2765805494: #=
3756624504: #>
1864353084: #?
1213452695: #@
2443428117: #A
1192126555: #B
801091846: #C
899673638: #D
2753385083: #E
3313831415: #F
1130776070: #G
3894702723: #H
3389157343: #I
4098896230: #J
3213629328: #K
3932192146: #L
4051615788: #M
2211610329: #N
363777219: #O
34018217: #P
804505411: #Q
739304325: #R
3234707094: #S
3779441277: #T
4108686817: #U
4186457640: #V
800480334: #W
1632580285: #X
1386061834: #Y
1328696704: #Z
226868035: #[
3053325012: #\
3878305913: #]
80085829: #^
3047576217: #_
3794089115: #`
1914765859: #a
537518422: #b
381322527: #c
2904418905: #d
2137775699: #e
2412880605: #f
2389667976: #g
1591352741: #h
1949012266: #i
4219665371: #j
1609279518: #k
3970878958: #l
3936656437: #m
2906588393: #n
1579801880: #o
2174797944: #p
4211947283: #q
1701759723: #r
2748956239: #s
3131506071: #t
3965927119: #u
3298062652: #v
178401598: #w
2773934816: #x
3576834820: #y
2168834714: #z
534179966: #{
782861721: #|
814310466: #}
2465254917: #~
2413585209: #
1613303237: $ 
73309521: $!
3693950488: $"
2220596900: $#
648262863: $$
815175823: $%
2729611424: $&
1167575542: $'
1289409128: $(
4000449992: $)
2605809756: $*
2807970157: $+
2311039462: $,
1966211818: $-
2832524406: $.
3199060155: $/
11702267: $0
644282404: $1
257228386: $2
1603570136: $3
3106220919: $4
1834760373: $5
2049409432: $6
2870313996: $7
3672771194: $8
2744417994: $9
2016627486: $:
14354465: $;
495333292: $<
1818629320: $=
4052772674: $>
3529313037: $?
564644746: $@
3378770784: $A
3850157698: $B
4209610833: $C
3348489835: $D
659140801: $E
4279919031: $F
2539241114: $G
1512037859: $H
1419454326: $I
3375784632: $J
4276897430: $K
352615381: $L
1577082629: $M
3389491795: $N
2020247489: $O
462968730: $P
2472818052: $Q
1379429038: $R
842257854: $S
1984452133: $T
2768463064: $U
542666079: $V
3230123123: $W
1270389911: $X
1061316155: $Y
940262017: $Z
2093510422: $[
1732875255: $\
2589823699: $]
2427712676: $^
2120998718: $_
2832861285: $`
2727717947: $a
3527006740: $b
3533697848: $c
1693931870: $d
318441288: $e
3484921887: $f
346463163: $g
2907348936: $h
4186084712: $i
1886704885: $j
15090877: $k
3073389204: $l
282158647: $m
3855124679: $n
762749995: $o
1138565774: $p
1291203766: $q
2405205375: $r
459676115: $s
849264752: $t
151919655: $u
4145478494: $v
2798469173: $w
2145585422: $x
1602943373: $y
2437903970: $z
2566491782: ${
1989291225: $|
1264820566: $}
2753917120: $~
2169664544: $
1354624158: % 
3676974729: %!
3597264714: %"
641399385: %#
3932966748: %$
2500184223: %%
746278077: %&
388341489: %'
2724086369: %(
1710325240: %)
1276026558: %*
1347529256: %+
251064957: %,
3660115019: %-
284617647: %.
3323075903: %/
4117719157: %0
873966362: %1
934849141: %2
1753790241: %3
3697719067: %4
213728683: %5
1695967197: %6
4293605912: %7
3487463238: %8
1131983846: %9
1624130812: %:
1726609: %;
4279936665: %<
2084869306: %=
1958702999: %>
531920129: %?
3832714833: %@
1229128992: %A
1322872020: %B
1559724058: %C
2348481365: %D
602046826: %E
3333369486: %F
1789775924: %G
3243367796: %H
3184854693: %I
2425704157: %J
1705559557: %K
784543023: %L
1152217148: %M
1175322053: %N
3355962732: %O
1214025657: %P
1621712248: %Q
2690355775: %R
1874858962: %S
743181477: %T
377783240: %U
900247529: %V
1804104994: %W
2936527693: %X
116103252: %Y
3754616535: %Z
12225028: %[
3252610086: %\
1981262217: %]
